simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
2249,True,10.0,9753.099120283323,2626.51413808087,2626.51413808087,3624.4501802572
2250,True,14.0,9656.05416257566,3049.177451706719,3049.177451706719,3946.1948354318833
2251,True,10.0,9753.099120283323,3021.786288262615,3021.786288262615,3997.536031477303
2252,True,17.0,9583.904655209462,3258.3937283468035,3213.720186452342,4110.373277645861
2253,True,13.0,9680.224498313057,3141.744995631082,3141.744995631082,4002.6991272020446
2254,True,16.0,9607.894391523227,3197.8604773684015,3197.8604773684015,4049.3464186263404
2255,True,26.0,9370.674633774024,4481.684374238105,4350.878515396998,4798.171158507691
2256,True,13.0,9680.224498313057,2904.3597208282563,2899.1456960810997,3867.5373644667225
2257,True,11.0,9728.746825534536,2205.6382931892085,2205.6382931892085,3544.019834897074
2258,True,21.0,9488.543210558004,3108.5831688195644,3108.5831688195644,4241.525459990516
2259,True,7.0,9826.522356650728,3247.3294110753477,3247.3294110753477,4174.244523834948
2260,True,14.0,9656.05416257566,3591.7100328627916,3484.447279519493,4092.6084379585204
2261,True,26.0,9370.674633774024,3668.0452570700772,3668.0452570700772,4593.688683751494
2262,True,13.0,9680.224498313057,2461.1043634249936,2461.1043634249936,3670.7929780770296
2263,True,20.0,9512.294245007133,3427.482532632662,3414.858794814863,4255.330771787523
2264,True,15.0,9631.944177208212,2495.870074929153,2495.870074929153,3692.0850460388833
2265,True,27.0,9347.277206160265,4321.0563151403285,4087.662665452311,4520.686700138316
2266,True,14.0,9656.05416257566,2919.236708145398,2919.236708145398,3926.7605867969014
2267,True,19.0,9536.104731326255,3173.6060679392035,3173.6060679392035,4085.8224012236624
2268,True,28.0,9323.938199059472,3121.0206074431317,3121.0206074431317,4378.061303172181
2269,True,12.0,9704.455335485078,3057.570676231465,3038.8235351675885,3919.663990898834
2270,True,13.0,9680.224498313057,2935.9577658839075,2935.9577658839075,4002.180292523821
2271,True,14.0,9656.05416257566,2868.7400753626607,2859.7088132307567,3927.197191517321
2272,True,11.0,9728.746825534536,2504.438804246672,2504.438804246672,3627.7106798017257
2273,True,11.0,9728.746825534536,3203.479248686207,3168.8253233487317,4089.5333013036675
2274,True,17.0,9583.904655209462,3470.854154671395,3451.199029882949,4158.206912336236
2275,True,25.0,9394.130628134748,3455.671339006798,3455.671339006798,4360.048476548872
2276,True,9.0,9777.51237193336,3344.288683742405,3261.8455092918925,3831.5521895108427
2277,True,15.0,9631.944177208212,3044.1248736560915,3044.1248736560915,3951.640467079089
2278,False,,0.0,4677.159162219621,4596.470800788542,4966.472155022925
2279,True,18.0,9559.974818330991,3206.4852680221816,3206.4852680221816,4120.896941764717
2280,True,23.0,9441.218903864214,3801.7097026517877,3716.2586394809978,4304.337516290026
2281,True,12.0,9704.455335485078,2521.2532216188897,2508.7799273323026,3713.3346705895005
2282,True,13.0,9680.224498313057,3526.5534965196834,3482.9984075400157,4159.07544265612
2283,True,18.0,9559.974818330991,2844.430035683932,2844.430035683932,4021.579685109902
2284,True,17.0,9583.904655209462,2254.7203997498527,2254.7203997498527,3717.9208078331735
2285,True,10.0,9753.099120283323,3015.355327578213,2892.724783767037,3789.123577652369
2286,True,12.0,9704.455335485078,2958.609578644553,2958.609578644553,3867.587566261643
2287,True,20.0,9512.294245007133,3239.2548334512635,3239.2548334512635,4152.226185028768
2288,True,18.0,9559.974818330991,2879.474126632486,2846.678250033485,3885.029160966241
2289,True,9.0,9777.51237193336,2987.686008577855,2987.686008577855,3862.7901397103824
2290,True,17.0,9583.904655209462,3150.084562051649,3080.9422017681877,4085.297739429021
2291,True,24.0,9417.645335842479,3206.224529190393,3206.224529190393,4186.589615032175
2292,True,11.0,9728.746825534536,2991.2049419391715,2991.2049419391715,3882.778590793216
2293,True,16.0,9607.894391523227,3215.642605420503,3171.172786506037,4038.218022254427
2294,True,15.0,9631.944177208212,3774.508683492066,3664.310565369988,4250.982289992915
2295,True,26.0,9370.674633774024,3605.8861550388033,3605.8861550388033,4422.883452900091
2296,True,19.0,9536.104731326255,3129.62437216442,3129.62437216442,4099.037581378135
2297,True,14.0,9656.05416257566,3376.957062535013,3282.05659039283,4034.120520660623
2298,True,19.0,9536.104731326255,2794.6759191607853,2794.6759191607853,3885.302794092882
2299,True,11.0,9728.746825534536,3182.6297670799127,3118.4425095169713,4009.6159935916903
2300,True,19.0,9536.104731326255,2980.6715107624736,2980.6715107624736,3996.440627226284
2301,True,14.0,9656.05416257566,3403.055352845535,3403.055352845535,4227.022999063875
2302,True,13.0,9680.224498313057,2734.269660453429,2734.269660453429,3848.8420441017615
2303,True,16.0,9607.894391523227,2822.552666302352,2818.4257566378265,4000.7213380821177
2304,True,13.0,9680.224498313057,3242.6144221691125,3242.6144221691125,4141.430619522314
2305,True,11.0,9728.746825534536,3334.1669887398007,3332.8259091782193,3953.84166404749
2306,True,16.0,9607.894391523227,3567.9216346448916,3567.9216346448916,4216.904121226195
2307,True,11.0,9728.746825534536,3275.9183855357487,3275.9183855357487,4141.496529153336
2308,True,22.0,9464.851479534831,3604.4436757237736,3604.4436757237736,4280.62182224826
2309,True,8.0,9801.98673306755,2777.3094108479277,2777.3094108479277,3868.0584438422325
2310,True,20.0,9512.294245007133,3947.902373719395,3916.9645888554383,4543.989600034593
2311,True,13.0,9680.224498313057,3115.3050546179647,3073.53183487805,3917.6643753731205
2312,True,33.0,9208.114378568032,3588.8768398264488,3463.538899695386,4434.004277876677
2313,True,18.0,9559.974818330991,2649.1348005657337,2649.1348005657337,3962.297732159017
2314,True,22.0,9464.851479534831,3571.163128924167,3527.2942567564573,4180.931635541344
2315,True,26.0,9370.674633774024,3395.6135754385605,3373.5242915404124,4408.350806862202
2316,True,17.0,9583.904655209462,3180.6777043301645,3171.3338725860553,3895.297618366615
